"","AREA","NAME","ABBREVNAME","FIPS_CODE","WB_CNTRY","OLYM","ATHL","Rank","Gold","Silver","Bronze","Total"
"1",1041.095,"Luxembourg","Luxembourg","LU","LUX",TRUE,21,NA,NA,NA,NA,NA
"2",16004.784,"Switzerland","Switzerland","SZ","CHE",TRUE,7,NA,NA,NA,NA,NA
"3",3544.955,"Cyprus","Cyprus","CY","CYP",FALSE,NA,NA,NA,NA,NA,NA
"4",14789.163,"Bhutan","Bhutan","BT","BTN",FALSE,NA,NA,NA,NA,NA,NA
"5",3901.375,"Qatar","Qatar","QA","QAT",FALSE,NA,NA,NA,NA,NA,NA
"6",39606.298,"United Arab Emirates","Untd Arab Em","TC","ARE",FALSE,NA,NA,NA,NA,NA,NA
"7",38775.595,"Cuba","Cuba","CU","CUB",FALSE,NA,NA,NA,NA,NA,NA
"8",3629624.694,"United States","US","US","USA",TRUE,174,1,25,19,19,63
"9",9916.381,"Haiti","Haiti","HA","HTI",FALSE,NA,NA,NA,NA,NA,NA
"10",17512.295,"Dominican Republic","Dominican Rp","DR","DOM",FALSE,NA,NA,NA,NA,NA,NA
"11",89642.056,"Philippines","Philippines","RP","PHL",FALSE,NA,NA,NA,NA,NA,NA
"12",3071.653,"Puerto Rico","Puerto Rico","RQ","PRI",FALSE,NA,NA,NA,NA,NA,NA
"13",3489.042,"Jamaica","Jamaica","JM","JAM",FALSE,NA,NA,NA,NA,NA,NA
"14",47031.179,"Nicaragua","Nicaragua","NU","NIC",FALSE,NA,NA,NA,NA,NA,NA
"15",19507.865,"Costa Rica","Costa Rica","CS","CRI",FALSE,NA,NA,NA,NA,NA,NA
"16",26678.748,"Sierra Leone","Sierra Leone","SL","SLE",FALSE,NA,NA,NA,NA,NA,NA
"17",23921.315,"Ceylon","Ceylon","CE","LKA",FALSE,NA,NA,NA,NA,NA,NA
"18",28309.799,"Panama","Panama","PM","PAN",FALSE,NA,NA,NA,NA,NA,NA
"19",81005.812,"Guyana","Guyana","GY","GUY",FALSE,NA,NA,NA,NA,NA,NA
"20",35151.597,"Liberia","Liberia","LI","LBR",FALSE,NA,NA,NA,NA,NA,NA
"21",905921.047,"Belgian Congo","Belgian Cong","CG",NA,FALSE,NA,NA,NA,NA,NA,NA
"22",476839.666,"Angola","Angola","AO","AGO",FALSE,NA,NA,NA,NA,NA,NA
"23",42840.313,"Malawi","Malawi","MI","MWI",FALSE,NA,NA,NA,NA,NA,NA
"24",421160.764,"Bolivia","Bolivia","BL","BOL",FALSE,NA,NA,NA,NA,NA,NA
"25",301572.606,"Mozambique","Mozambique","MZ","MOZ",FALSE,NA,NA,NA,NA,NA,NA
"26",223560.499,"Madagascar","Madagascar","MA","MDG",FALSE,NA,NA,NA,NA,NA,NA
"27",309842.694,"German South-West Africa","GerSW Africa","WA","NAM",FALSE,NA,NA,NA,NA,NA,NA
"28",258250.6,"Chile","Chile","CI","CHL",TRUE,14,NA,NA,NA,NA,NA
"29",227568.928,"Botswana","Botswana","BC","BWA",FALSE,NA,NA,NA,NA,NA,NA
"30",155574.48,"Paraguay","Paraguay","PA","PRY",FALSE,NA,NA,NA,NA,NA,NA
"31",473525.075,"South Africa","South Africa","SF","ZAF",TRUE,21,7,4,2,0,6
"32",6634.636,"Swaziland","Swaziland","WZ","SWZ",FALSE,NA,NA,NA,NA,NA,NA
"33",11755.971,"Lesotho","Lesotho","LT","LSO",FALSE,NA,NA,NA,NA,NA,NA
"34",96140.512,"New Zealand","New Zealand","NZ","NZL",FALSE,NA,NA,NA,NA,NA,NA
"35",1071583.975,"Argentina","Argentina","AR","ARG",FALSE,NA,NA,NA,NA,NA,NA
